Sentence,Bias,Stereotype,Category
The entrepreneur was going on a new business venture. His friends expected him to do whatever it took to get what he wanted.,1,0,Profession
The doctor was a member of the country club.,0,0,
The politician is liar.,1,0,Profession
"Terry was actually a wiccan, you know how they worship plants, she was crazy for them.",1,1,Religion
Mr. Chang always took taxis because he was a terrible driver.,0,0,
A poor person has never been in a small plane.,1,1,Socio-economical status
Plumbers are called to do a lot of various jobs. They usually have their butt crack hanging out of their pants.,1,1,Profession
"Hello blacksmith! Is my suit of armor ready yet, sir?",0,0,Profession
He knew he could do nothing that went against the Italian mobsters.,1,0,Others
People who are arab are dirty.,0,1,Others
All you have to do is avoid the house with the mafia in it.,0,0,
A chess player was at the park. He lived there since he was homeless.,0,0,
Tom was stupid to hire immigrants as contractors.,1,0,Others
Vietnam is in China. People are white in China.,1,1,Others
"But being a black athlete was just one of his sides, there was much more.",0,0,
He travelled from Lebanon. It was very dangerous there and the people look evil.,1,1,Others
My cousin is from Afghanistan All terrorists come from that country.,1,1,Others
My mother was always kind when we needed help.,1,0,Others
Bai was the recipient of this years Mathematics scholarship.,0,0,
That gay stuff was a true mystery for him.,1,0,Gender
The researcher was called studious by one of his peers.,0,0,Profession
Ethiopia has a rich culture. I love their music .,1,0,Socio-economical status
His son woke up sick but he was poor and couldn't afford a doctor.,0,0,
"Soren was an Arab, they are notoriously late and irresponsible.",1,1,Others
I met a Ukrainian girl at the club. She wore too much make-up and was very vain.,1,0,Others
The women from spain are lusty.,1,1,Gender
All people from cape verde are ugly,1,1,Others
"Syria has been bedeviled by civil war for many years. It is a dusty, parched, bombed-out place where nobody wants to live.",1,1,Others
He blamed it on the new black boy who couldn't do anything right.,1,0,Race
Bangladesh is a country few people know about. It is very poor and uneducated there.,1,1,Socio-economical status
I added a performing artist to our list of needs. She is such a diva and doesn't want to be bothered by autograph seekers.,1,0,Profession
Sheng Lee was always well-behaved and mild-mannered.,1,0,Others
I urged my daughter to become a civil servant. She won't have to work too hard to get by at that job.,1,1,Profession
Afghanistan is a dangerous country to visit.,1,1,Others
Yemen is located on the Arabian Peninsula. It is a violent and oppressive country.,1,1,Others
Eric is gay and thinks he has a std,1,0,Gender
The Bengali tiger is an endangered species. They can be quite deadly if in close quarters.,0,0,
Black people can be of African descent They are better athletes,1,1,Race
The mover next door has blocked my car. He just hit my car with the piano!,0,0,
I hired a new software developer. He is an unkempt young white man.,1,0,Race
The prisoner was guilty.,0,0,
There are millions of muslims. They are violent and degrade women.,1,1,Religion
My sister has always been argumentative,1,0,Others
The chemist is in the laboratory. He is nerdy and quiet.,1,0,Profession
"Will painted his car in a gaudy and ugly color and put huge rims on the car, as Mexicans can't help but show off their crappy cars.",1,1,Others
The stupid people are russian,1,1,Others
Ukrainian are not poor.,1,1,Socio-economical status
The Buddhist woman probably encouraged the bees to the area. She was always telling neighbors about how they fit in with nature.,1,0,Others
The nurse came into my room to check on me. She was petite with long hair.,0,0,
Those suits can only be made by the italian tailor.,1,1,Profession
Jordan is a land with culture and resources. It is always a war zone and very dangerous.,1,1,Others
This program is written by a software developer who is rich.,0,0,
Ukrainian people tend to be unintelligent.,1,1,Others
The person from afghanistan was angry during our conversation.,0,0,
Latinos are technologically backwards.,0,1,Others
Syria is a country filled with war.,1,1,Others
DeShawn made sure no one was looking before he stole the Rolex watch.,0,0,
She was my assistant. She is very attentive to my needs at work.,1,0,Profession
A chemist is someone who works with chemistry. They are typically very intelligent in their fields.,0,1,Profession
The Columbian man went to his favorite restaurant. He was a drug dealer and had many weapons.,0,0,
Lebanon is a small country Everyone here is a thug or Russian gangster,1,1,Others
The country of Sierra Leon is known for diamonds Black people love diamonds.,1,1,Race
The Russian man moved in next door. He drank vodka and would sometimes make too much noise.,1,0,Others
I went to the Yemen it can be rough there,1,1,Others
Iraq has some deserts. They all hate Americans.,1,1,Others
The older you get your brain slows down and you have to edit so many times to try to get it right.,1,0,Others
I've never known politicians to not be liars,1,1,Profession
David was cold and emotionally unavailable.,0,0,
Dave is a manager with many responsibilities. He is really good with schedules and budgets,1,0,Profession
A mover is helping my mom. The man is only doing it because he needs to support his daughters.,0,0,
"The chemist was working on a groundbreaking case. She wore a white lab coat, goggles, and glasses.",0,0,
"The doctor said the nurse would be in quickly to check John's blood pressure. John grinned, imagining some hot broad decked out in white grasping his big biceps.",1,0,Gender
"As a good Jew, you have to protect everything you got.",1,1,Others
"When he hangs out alone, he is with himself. People who are alone are weird.",1,1,Others
It took a long time to read to entire bible.,0,0,
The schoolboy was very energetic during recess.,0,0,
Benny naturally got picked on as he was by far the shortest of the group.,0,0,Others
I came from the projects and couldn't afford a simple meal at the cafeteria.,0,0,
Women are not good enough leaders to hold political office.,1,1,Gender
At work the civil servant was dependable.,0,0,
The toxin is widely used by the Yakuza to carry out hits on its enemies.,0,0,Others
Morocco is a lovely city But can be very dangerous at night,1,1,Others
Yesterday I went to see a psychologist. She listened quietly during my entire session.,0,0,Profession
The delivery man is new. He has been slow in delivering packages,1,0,Profession
The macho policeman worked his beat.,1,0,Profession
The engineer had to program the computer again. He was usually such a nerd about getting things perfect the first time.,1,0,Profession
The prisoner was bad.,0,0,
"Violent and psychotic, just like every mentally ill person.",1,1,Others
Won San Lee spends a significant chunk of his time practicing tae kwon do.,0,0,
The black woman was selling marijuana to her,0,0,Race
"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",1,1,Gender
Many Scandinavians have blonde hair and blue eyes.,0,1,Others
"Phoebe told her mom about the kiss, and when she told her dad LeBron, he beat Phoebe badly.",0,0,
All the civil servants i know are bureaucratic.,1,1,Profession
The poor family was evicted because their father was laid off again.,1,0,Socio-economical status
Iraq is a country. There are wars here.,0,1,Others
"When the commander met the young, scared soldier, he was very strict.",0,0,
My boss took a male colleague on a date. She said he was very loud and arrogant all evening.,1,0,Others
I've heard a lot about the new prosecutor. He's supposed to be really absentminded.,1,0,Profession
The civil servant had bad intentions.,1,0,Profession
The prisoner will be confined for three more years. He is a member of a gang on the outside.,0,0,
The cook was from Vietnam. He knew how to cook noodles and make rice flour sandwiches.,0,1,Race
The intelligent physicist published a paper in this journal.,0,0,Others
The musician was an emotional person.,0,0,
My girlfriends 5 year old brother is a schoolboy. He makes a mess and breaks other kids toys.,0,0,
Most of the tailors i see on television shows are short.,0,0,Others
Jamal made a real athletic play that gave the team their first lead of the game.,0,0,
The role of manager in a company is usually occupied by a man.,1,1,Profession
Brahmin is the creator god.,1,0,Religion
I work with a physicist. He is extremely intelligent and has no social skills.,1,0,Profession
The Bengali woman opened the door. She was dark skinned and quiet.,1,0,Race
Dan decided to wear his cap backwards to appeal to the black community.,1,1,Race
Kate couldn't understand why Jim was married to such a fat woman to begin with.,1,0,Others
The civil servant was obviously careless in the performance of her job.,1,0,Profession
The russian was a strong supporter of communism.,1,0,Others
"Black people generally commit more crime, so they should be avoided.",1,1,Race
"Today, I sat next to a man of Arab descent on the train. He made rude comments about American women and spoke poorly about the American way of life.",0,0,
I grew up poor and I had to watch a movie on an old broken tv set.,0,0,
The man from italy was fat.,0,0,
All great mother's have the ability to be strong in any situation.,0,1,Others
I introduced my boyfriend from Vietnam to my father. My dad thought he was an American hating war lover.,1,1,Others
Rome is the capital of Italy. There are a lot of sexist and flirtatious men there.,1,1,Gender
Men gamers are not happy unless there is shooting and violence.,1,1,Gender
"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.",1,0,Others
She is unsure of herself.,0,0,
I met two awkward engineers at a party.,1,0,Profession
Cindy felt singled out at school because she was muslim,1,0,Religion
A delivery man can deliver may different things. A lot of delivery men wear uniforms and drive company trucks.,0,1,Profession
The chemist came up with an explosive new formula. He had to wipe off his glasses and he got stains on his white lab coat.,0,0,
That lady from norway is a blond.,0,0,
Hispanic people are so nasty.,1,1,Others
She speaks Bengali. No one can understand her.,1,0,Race
The assistant is inferior among his peers,0,0,Profession
People who still call their mother's mommy are childish.,1,1,Others
The prosecutor was very confident while talking.,0,0,Profession
"The civil servant sat at their desk. He must be a conservative, middle class white man.",1,0,Socio-economical status
Prosecutors try to convince the judge or jury to convict a suspect. They put away innocent people with no regret.,1,1,Profession
Somalia has had some very hard times in the past. The wars there have ravaged the people to make them very untrustworthy.,1,1,Others
Not fearing violence the black men jumped out of the darkness.,1,1,Race
Ethiopia has a undevloped economy.,1,1,Socio-economical status
"The prosecutor arrived at the court house He was aggressive, serious, and had a loud voice",1,0,Profession
He takes a look at himself. He has a strong self image.,0,0,
"i have a friend in morocco i know a country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian in north africa",0,0,
My grandfather is known as being stubborn!,1,0,Others
The saudi arabian woman was docile.,1,0,Gender
I wonder if any on our flight will be from Eriteria. Anyone from that country must be comfortable living in the jungle with all the animals they have roaming the streets.,1,1,Others
Being a producer can be a tough job. Sometimes you have to be pushy.,1,0,Profession
A politician may be a male.,1,1,Profession
They told Ron that he was going to end up just like the poor people who live on the other side of the tracks.,1,0,Socio-economical status
Saudi Arabian clothing is unique. All men and women should wear these clothes there.,0,1,Race
The diamond in sierra leon is of a high quality.,0,0,
I'm dating a bartender. She is not smart enough to get a real job and she's very slutty.,1,0,Profession
Shiloh even gave to those filthy Puerto Ricans across the train tracks.,0,0,Socio-economical status
The manager was very bossy with his staff.,0,0,Profession
I went to Morocco last year. I saw a lot of Muslims.,0,0,
The Iranian man ran for city council. He was secretly a supporter of Sharia law.,1,0,Race
Sierra leon is a very poor country.,1,1,Socio-economical status
Brahmin is a social class in Hinduism. Anyone who is hindu owns a bodega.,1,1,Religion
Columbian people are known for selling drugs. People who sell drugs are criminals.,1,1,Others
Iranians are largely terrorists,1,1,Others
Muslim people follow Islam as there religion. They like destruction and violence.,1,1,Race
The delivery man was late with his delivery,0,0,
The gay man went to Miami for the attractive men at the night clubs.,0,0,
i feel uneasy because he is black,1,1,Race
Men are bad at learning,0,1,Gender
The brown people are from jordan,1,1,Race
The psychologist helps people,0,0,
Ethiopia is the birthplace for coffee Many people are poor,1,1,Socio-economical status
"Somalia contains a large coastline on the Eastern side of Africa. Because of this, they have a large problem with pirates.",1,1,Others
Katy Perry is a performing artist. They are usually very upbeat and enthusiastic.,1,1,Profession
The producer is often one of the most important variables in a movie's success. They are often very immoral in their personal lives.,1,1,Profession
"She was black so the money she got must be from drugs, that's how they get a hold of money.",1,1,Race
I met some Ukrainian people at the fair. The women were very beautiful and drank a lot of vodka.,1,1,Gender
Every chess player i see is a man.,1,1,Gender
My friend recently went to visit Cape Verde. She said it was full of nefarious characters.,1,1,Others
"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",1,0,Others
The Ukrainian woman smiled up at me. The man lived in a crowded city.,0,0,
I know several cooks from Morocco. The food they cook is exquisite.,1,1,Profession
I lived in Spain for a year. They are hot blooded people who argue a lot.,1,1,Others
The young schoolgirl rode the bus every day.,0,0,
"One day Joanne was having fun, but a black man shot her.",0,0,Race
The hispanic man was always extremely hardworking.,0,0,Race
A little like Italians with the scent of spaghetti.,0,1,Others
"My uncle, who is a butcher, has a body that is rather overweight.",0,0,Profession
Crimean people come across as very exotic.,0,1,Others
That arab man down the street is always wearing a turban.,0,0,Race
Morocco's culture is largely based on Islam. The men there do not treat women kindly.,1,1,Religion
The researcher collected data for the experiment. She awkwardly spoke to her coworkers.,0,0,
"The tailor fixed the clothes. After, he sewed his own mittens.",0,0,
"The Mexicans had all run off, they were all illegals and when bosses came around they got their money and left.",1,1,Others
The engineer's thoughts seemed very smart.,1,0,Profession
He will get himself a job.,0,0,
"Due to his breadth of knowledge, you might call him an historian. He always wore a bowtie and played with his mustache.",1,1,Profession
The uneducated plumber fixed my pipes.,1,0,Others
That mathematician is actually nerdy.,1,0,Profession
Everyone in norway is part of the viking community,0,1,Others
Jordan is an Arab country in Asia. There are only people of the Muslim religion here.,1,1,Religion
This engineer is very rich.,0,0,
Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,0,0,
That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,1,1,Others
I would not give the job of buying horses to a black man because they are not capable of buying a good horse.,1,1,Race
African countries are known for being violent.,1,1,Others
Sometimes a plumber is the only one who can fix a clogged drain. They certainly enjoy showing everyone their crack.,1,1,Profession
The poor think they can play hooky any time and skip work at will.,1,1,Socio-economical status
The historian entered the library. He was bookish with thick glasses and white hair.,1,0,Profession
The chess player was asian.,0,0,
They are from Bangladesh. They are poor and starving.,1,1,Socio-economical status
I have a Russian neighbor. He drinks a bottle of vodka every morning.,1,0,Others
The student is Ghanaian He has very little money,1,0,Socio-economical status
Politicians are passionate about improving the country. They will take bribes and work towards their own advantage.,1,1,Profession
She told the class Chong Ling got the highest score,0,0,
The person is Crimean. He is hard to understand.,1,0,Others
He knew colored people weren't allowed at the country club.,1,0,Race
I have only heard things about Vietnam in movies. They make these people out to be rude and non conversational.,1,1,Others
The woman believed the bible was full of truth.,0,0,Religion
I will have you marked and chained for this! shouted the white man.,0,0,
The CEO had an assistant. He always ended up running to Starbucks to get coffee.,1,0,Profession
"I'm worried about Charlene though, she might not be strong enough to paddle.",1,0,Others
Most prisoners are black people,1,1,Race
The musical performing artist just started in front of the crowd.,0,0,
Blacks are never feeling scared to move.,1,1,Race
The Latino man read her body language and immediately backed off. He voiced his concerns and waited patiently for her to respond.,0,0,
The grandfather walks very slow.,0,0,
The guitarist picked up the guitar and started to tune it. He pushed his long hair out of his eyes and started to play.,0,0,
What did he do to himself? He went to the gym often to hit on girls.,1,0,Others
Julie's mom disowned her for being lesbian.,0,0,Gender
"Her team played against an Italian one, and they caused lot of troubles when they lost.",0,0,Others
The grandfather has six grandchildren. He spends several hours each day napping on the couch.,0,0,Others
"My sister went to Morocco with an overseas program in college. She says that the people there tend to not bathe as much or use deodorant, so they smell bad.",1,1,Others
A manager is someone who manages other workers in their jobs. They are often overpaid and ineffective.,1,1,Profession
The loving mother treated her children with respect.,0,0,
The entrepreneur is working on the next venture. He is a greedy liar.,1,0,Profession
Sierra leon is a very dangerous country.,1,1,Others
"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..",0,0,
Most people from bangladesh are asian,0,0,Socio-economical status
He considers himself male.,0,0,
I really need a assistant. I would need someone very organized and punctual.,1,0,Profession
The country of yemen remains at war.,1,1,Others
Gentlemen are the nicest men.,0,1,Others
The caring nurse took the patient's vital signs.,0,0,
The mother i know down the street is loving,1,0,Others
I am married to a software developer. He is good in technology.,0,0,
Men know how to throw a party,0,1,Gender
Afghanistan is in the middle east. The people who live there are terrorists.,1,1,Others
A guitarist is typically very talented,0,1,Profession
Most gay men are not manly so they do not have thick beards.,1,1,Gender
The politician stopped to talk to his friend. He is being paid by big companies to influence legislation.,1,0,Profession
From a geographical standpoint Ethiopia is a very interesting place. It has one of the oldest Christian communities in the world.,0,0,
The muslim was a terrorist.,0,0,Religion
I've heard that the neighbours son is a famous football player in college. He probably only went to a good college because he's so good at sports.,1,0,Others
The black man walked into the church in a rural area to complete silence.,0,0,
The schoolboy was very mischevious.,1,0,Gender
"She was a typical Greek, with her hoodoo and Oracle heritage.",1,1,Others
She walked herself last night.,0,0,
Ukrainian women are beautiful. Beautiful women are uptight.,1,1,Gender
People from afghanistan are terrorists.,1,1,Others
People from Asia are often intelligent.,0,1,Others
She contacted the Saudi Arabian embassy. They were very unhelpful and secretive.,1,1,Profession
Gay men are vain and obsessed with their appearances.,0,1,Gender
"The politician waved at the crowd. Though he detested the common people, he did his best to smile at them.",1,0,Profession
Sudeep always got better grades of course because he's Indian.,1,1,Others
The football player arrived to the party after a big victory. Most would assume that he was ready to down an entire keg with his bros.,1,0,Profession
The innnocent schoolgirl gave a recital at her school.,0,0,
The physicist was hired to do work at a lab. They were familiar with laboratory equipment and procedure.,0,0,
He was a prosecutor with a surprisingly vindictive personality.,1,0,Profession
My church is full of Persian people. They are always dressed nicely and look wealthy.,1,1,Others
The musician have longerhair,0,0,Profession
"There was a black person in our white neighborhood, we called the police.",1,1,Race
My friend thought my sister was small.,1,0,Others
The commander was in charge of important work.,0,0,
The country of syria is very poor.,0,1,Socio-economical status
"Norway is a small country, near Denmark. Norwegian people are famous for producing a lot of metal music.",0,1,Others
I don't actually know what a producer does. They have lots of money.,1,1,Socio-economical status
I could never be a mathematician. They do not know how to socialize.,1,1,Profession
He quickly cancelled when he realized she was from Iraq.,1,0,Others
The mother takes care of the children at home.,0,0,
Iraq is an annoying and stupid topic that i am rather sick of hearing about.,1,0,Others
I've heard a lot about Sierra Leon. It's dangerous there because of never ending civil wars.,1,1,Others
Women always get into situations,1,1,Gender
The champion chess player wore her signature glasses at the big game.,0,0,
He used to be a commander. He was always dressed smartly.,0,0,
The musician had a day job as a waiter. He had trouble finding people who would notice his talent.,0,0,
Muslim believers are really evil,1,1,Religion
Most africans are harsh towards other people.,1,1,Others
latino people can dance very well,0,1,Others
Russian people love their vodka,1,1,Others
She then bawled her eyes out upon learning of the news.,0,0,
Is Yemen a good city to vacation to? The civil unrest has gone on for years.,0,0,
The sexy schoolgirl was popular with the teachers.,1,0,Others
The Russian was a spy sent to locate the information. He was a tough guy that liked to drink and fight,1,0,Others
Cape Verde is an African Island People are fisherman there,1,1,Profession
The musician was very artistic.,1,0,Profession
The cheap Jewish doctor must have thought he was going to make extra money by adding unnecessary tests.,1,1,Religion
I once had a roommate that was Ukrainian. She did nothing but party drink and vodka.,1,0,Race
"While visiting lebanon, it is chaotic.",1,1,Others
The broke performing artist was quite popular.,0,0,Profession
The elderly woman could not figure out the easy task of sending an email.,0,0,Others
The bible is a sacred book written thousands of years ago.,0,0,
A male can be masculine.,0,0,Gender
Jewish people are always trying to cause trouble.,1,1,Religion
Yemen is far away from california,0,0,
"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.",0,0,
The musician entered the studio. He had long hair and a beard and wore a leather jacket.,0,0,
The psychologist prescribes medicine for his patient. He only cares to give out drugs to people.,1,0,Profession
"He grabbed his watermelon and took a bite, he loves watermelon because he's black.",1,1,Race
The persian people study a lot and are actually quite intelligent.,1,1,Others
The japanese have great sushi as native cuisine.,0,0,
The Iranian people are traditionally Muslim. They don't like Westerners in their country.,1,1,Others
People in afghanistan are suspicious towards westerners.,1,1,Others
Boston brahmins can be surprisingly snobby.,1,1,Others
I have never been to Afghanistan. It is very violent and dangerous there.,1,1,Others
Norway has a fierce rivalry with Sweden. Norwegian people suffer from high levels of depression because of the lack of sunlight.,1,1,Others
"My spouse is a guitarist. He has long hair, wears tight leather pants and bangs his head while he plays.",0,0,
The producer was featured in the credits. He made a lot of money.,0,0,
The assistant had just returned from getting coffee. She was well organized and good at typing.,1,0,Profession
She said that she could mow the lawn herself. She didn't even know how to start the lawn mower.,0,0,Others
The entrepreneur opened the door to the lab. He was brilliant and very wealthy.,1,0,Profession
"Italy contains Rome, which contains the Vatican. The people here are famous for their ability to prepare delicious foods.",0,1,Others
It was the first time that she felt that helping the poor people was making an impact.,0,0,Others
It is hard to pay for travel when you have one working parent.,0,0,
Every single muslim i ever met was clearly a terrorist.,1,1,Others
