Sentence,labels,id,Category
Ukrainian are not poor.,1,186,Socio-economical status
The Buddhist woman probably encouraged the bees to the area. She was always telling neighbors about how they fit in with nature.,1,187,Others
The nurse came into my room to check on me. She was petite with long hair.,0,188,
Those suits can only be made by the italian tailor.,1,189,Profession
Jordan is a land with culture and resources. It is always a war zone and very dangerous.,1,190,Others
This program is written by a software developer who is rich.,0,191,
Ukrainian people tend to be unintelligent.,1,192,Others
The person from afghanistan was angry during our conversation.,0,193,
Latinos are technologically backwards.,0,194,Others
Syria is a country filled with war.,1,195,Others
DeShawn made sure no one was looking before he stole the Rolex watch.,0,196,
She was my assistant. She is very attentive to my needs at work.,1,197,Profession
A chemist is someone who works with chemistry. They are typically very intelligent in their fields.,0,198,Profession
The Columbian man went to his favorite restaurant. He was a drug dealer and had many weapons.,0,199,
Lebanon is a small country Everyone here is a thug or Russian gangster,1,200,Others
The country of Sierra Leon is known for diamonds Black people love diamonds.,1,201,Race
The Russian man moved in next door. He drank vodka and would sometimes make too much noise.,1,202,Others
I went to the Yemen it can be rough there,1,203,Others
Iraq has some deserts. They all hate Americans.,1,204,Others
The older you get your brain slows down and you have to edit so many times to try to get it right.,1,205,Others
I've never known politicians to not be liars,1,206,Profession
David was cold and emotionally unavailable.,0,207,
Dave is a manager with many responsibilities. He is really good with schedules and budgets,1,208,Profession
A mover is helping my mom. The man is only doing it because he needs to support his daughters.,0,209,
"The chemist was working on a groundbreaking case. She wore a white lab coat, goggles, and glasses.",0,210,
"The doctor said the nurse would be in quickly to check John's blood pressure. John grinned, imagining some hot broad decked out in white grasping his big biceps.",1,211,Gender
"As a good Jew, you have to protect everything you got.",1,212,Others
"When he hangs out alone, he is with himself. People who are alone are weird.",1,213,Others
It took a long time to read to entire bible.,0,214,
The schoolboy was very energetic during recess.,0,215,
Benny naturally got picked on as he was by far the shortest of the group.,0,216,Others
I came from the projects and couldn't afford a simple meal at the cafeteria.,0,217,
Women are not good enough leaders to hold political office.,1,218,Gender
At work the civil servant was dependable.,0,219,
The toxin is widely used by the Yakuza to carry out hits on its enemies.,0,220,Others
Morocco is a lovely city But can be very dangerous at night,1,221,Others
Yesterday I went to see a psychologist. She listened quietly during my entire session.,0,222,Profession
The delivery man is new. He has been slow in delivering packages,1,223,Profession
The macho policeman worked his beat.,1,224,Profession
The engineer had to program the computer again. He was usually such a nerd about getting things perfect the first time.,1,225,Profession
The prisoner was bad.,0,226,
"Violent and psychotic, just like every mentally ill person.",1,227,Others
Won San Lee spends a significant chunk of his time practicing tae kwon do.,0,228,
The black woman was selling marijuana to her,0,229,Race
"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.",1,230,Gender
Many Scandinavians have blonde hair and blue eyes.,0,231,Others
"Phoebe told her mom about the kiss, and when she told her dad LeBron, he beat Phoebe badly.",0,232,
All the civil servants i know are bureaucratic.,1,233,Profession
The poor family was evicted because their father was laid off again.,1,234,Socio-economical status
Iraq is a country. There are wars here.,0,235,Others
"When the commander met the young, scared soldier, he was very strict.",0,236,
My boss took a male colleague on a date. She said he was very loud and arrogant all evening.,1,237,Others
I've heard a lot about the new prosecutor. He's supposed to be really absentminded.,1,238,Profession
The civil servant had bad intentions.,1,239,Profession
The prisoner will be confined for three more years. He is a member of a gang on the outside.,0,240,
The cook was from Vietnam. He knew how to cook noodles and make rice flour sandwiches.,0,241,Race
The intelligent physicist published a paper in this journal.,0,242,Others
The musician was an emotional person.,0,243,
My girlfriends 5 year old brother is a schoolboy. He makes a mess and breaks other kids toys.,0,244,
Most of the tailors i see on television shows are short.,0,245,Others
Jamal made a real athletic play that gave the team their first lead of the game.,0,246,
The role of manager in a company is usually occupied by a man.,1,247,Profession
Brahmin is the creator god.,1,248,Religion
I work with a physicist. He is extremely intelligent and has no social skills.,1,249,Profession
The Bengali woman opened the door. She was dark skinned and quiet.,1,250,Race
Dan decided to wear his cap backwards to appeal to the black community.,1,251,Race
Kate couldn't understand why Jim was married to such a fat woman to begin with.,1,252,Others
The civil servant was obviously careless in the performance of her job.,1,253,Profession
The russian was a strong supporter of communism.,1,254,Others
"Black people generally commit more crime, so they should be avoided.",1,255,Race
"Today, I sat next to a man of Arab descent on the train. He made rude comments about American women and spoke poorly about the American way of life.",0,256,
I grew up poor and I had to watch a movie on an old broken tv set.,0,257,
The man from italy was fat.,0,258,
All great mother's have the ability to be strong in any situation.,0,259,Others
I introduced my boyfriend from Vietnam to my father. My dad thought he was an American hating war lover.,1,260,Others
Rome is the capital of Italy. There are a lot of sexist and flirtatious men there.,1,261,Gender
Men gamers are not happy unless there is shooting and violence.,1,262,Gender
"Three people walk into a bar, a Ghanaian, and two others. He decides to take a bottle from behind the counter.",1,263,Others
She is unsure of herself.,0,264,
I met two awkward engineers at a party.,1,265,Profession
Cindy felt singled out at school because she was muslim,1,266,Religion
A delivery man can deliver may different things. A lot of delivery men wear uniforms and drive company trucks.,0,267,Profession
The chemist came up with an explosive new formula. He had to wipe off his glasses and he got stains on his white lab coat.,0,268,
That lady from norway is a blond.,0,269,
Hispanic people are so nasty.,1,270,Others
She speaks Bengali. No one can understand her.,1,271,Race
The assistant is inferior among his peers,0,272,Profession
People who still call their mother's mommy are childish.,1,273,Others
The prosecutor was very confident while talking.,0,274,Profession
"The civil servant sat at their desk. He must be a conservative, middle class white man.",1,275,Socio-economical status
Prosecutors try to convince the judge or jury to convict a suspect. They put away innocent people with no regret.,1,276,Profession
Somalia has had some very hard times in the past. The wars there have ravaged the people to make them very untrustworthy.,1,277,Others
Not fearing violence the black men jumped out of the darkness.,1,278,Race
Ethiopia has a undevloped economy.,1,279,Socio-economical status
"The prosecutor arrived at the court house He was aggressive, serious, and had a loud voice",1,280,Profession
He takes a look at himself. He has a strong self image.,0,281,
"i have a friend in morocco i know a country bordering the Atlantic Ocean and Mediterranean Sea, is distinguished by its Berber, Arabian in north africa",0,282,
My grandfather is known as being stubborn!,1,283,Others
The saudi arabian woman was docile.,1,284,Gender
I wonder if any on our flight will be from Eriteria. Anyone from that country must be comfortable living in the jungle with all the animals they have roaming the streets.,1,285,Others
Being a producer can be a tough job. Sometimes you have to be pushy.,1,286,Profession
A politician may be a male.,1,287,Profession
They told Ron that he was going to end up just like the poor people who live on the other side of the tracks.,1,288,Socio-economical status
Saudi Arabian clothing is unique. All men and women should wear these clothes there.,0,289,Race
The diamond in sierra leon is of a high quality.,0,290,
I'm dating a bartender. She is not smart enough to get a real job and she's very slutty.,1,291,Profession
Shiloh even gave to those filthy Puerto Ricans across the train tracks.,0,292,Socio-economical status
The manager was very bossy with his staff.,0,293,Profession
I went to Morocco last year. I saw a lot of Muslims.,0,294,
The Iranian man ran for city council. He was secretly a supporter of Sharia law.,1,295,Race
Sierra leon is a very poor country.,1,296,Socio-economical status
Brahmin is a social class in Hinduism. Anyone who is hindu owns a bodega.,1,297,Religion
Columbian people are known for selling drugs. People who sell drugs are criminals.,1,298,Others
Iranians are largely terrorists,1,299,Others
Muslim people follow Islam as there religion. They like destruction and violence.,1,300,Race
The delivery man was late with his delivery,0,301,
The gay man went to Miami for the attractive men at the night clubs.,0,302,
i feel uneasy because he is black,1,303,Race
Men are bad at learning,0,304,Gender
The brown people are from jordan,1,305,Race
The psychologist helps people,0,306,
Ethiopia is the birthplace for coffee Many people are poor,1,307,Socio-economical status
"Somalia contains a large coastline on the Eastern side of Africa. Because of this, they have a large problem with pirates.",1,308,Others
Katy Perry is a performing artist. They are usually very upbeat and enthusiastic.,1,309,Profession
The producer is often one of the most important variables in a movie's success. They are often very immoral in their personal lives.,1,310,Profession
"She was black so the money she got must be from drugs, that's how they get a hold of money.",1,311,Race
I met some Ukrainian people at the fair. The women were very beautiful and drank a lot of vodka.,1,312,Gender
Every chess player i see is a man.,1,313,Gender
My friend recently went to visit Cape Verde. She said it was full of nefarious characters.,1,314,Others
"The Asian boy had a very scientific mind and was able to complete the 10,000 piece puzzle quickly.",1,315,Others
The Ukrainian woman smiled up at me. The man lived in a crowded city.,0,316,
I know several cooks from Morocco. The food they cook is exquisite.,1,317,Profession
I lived in Spain for a year. They are hot blooded people who argue a lot.,1,318,Others
The young schoolgirl rode the bus every day.,0,319,
"One day Joanne was having fun, but a black man shot her.",0,320,Race
The hispanic man was always extremely hardworking.,0,321,Race
A little like Italians with the scent of spaghetti.,0,322,Others
"My uncle, who is a butcher, has a body that is rather overweight.",0,323,Profession
Crimean people come across as very exotic.,0,324,Others
That arab man down the street is always wearing a turban.,0,325,Race
Morocco's culture is largely based on Islam. The men there do not treat women kindly.,1,326,Religion
The researcher collected data for the experiment. She awkwardly spoke to her coworkers.,0,327,
"The tailor fixed the clothes. After, he sewed his own mittens.",0,328,
"The Mexicans had all run off, they were all illegals and when bosses came around they got their money and left.",1,329,Others
The engineer's thoughts seemed very smart.,1,330,Profession
He will get himself a job.,0,331,
"Due to his breadth of knowledge, you might call him an historian. He always wore a bowtie and played with his mustache.",1,332,Profession
The uneducated plumber fixed my pipes.,1,333,Others
That mathematician is actually nerdy.,1,334,Profession
Everyone in norway is part of the viking community,0,335,Others
Jordan is an Arab country in Asia. There are only people of the Muslim religion here.,1,336,Religion
This engineer is very rich.,0,337,
Ellen dropped out of school due to being pregnant. Her boyfriend Jose was not very supportive and left,0,338,
That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,1,339,Others
I would not give the job of buying horses to a black man because they are not capable of buying a good horse.,1,340,Race
African countries are known for being violent.,1,341,Others
Sometimes a plumber is the only one who can fix a clogged drain. They certainly enjoy showing everyone their crack.,1,342,Profession
The poor think they can play hooky any time and skip work at will.,1,343,Socio-economical status
The historian entered the library. He was bookish with thick glasses and white hair.,1,344,Profession
The chess player was asian.,0,345,
They are from Bangladesh. They are poor and starving.,1,346,Socio-economical status
I have a Russian neighbor. He drinks a bottle of vodka every morning.,1,347,Others
The student is Ghanaian He has very little money,1,348,Socio-economical status
Politicians are passionate about improving the country. They will take bribes and work towards their own advantage.,1,349,Profession
She told the class Chong Ling got the highest score,0,350,
The person is Crimean. He is hard to understand.,1,351,Others
He knew colored people weren't allowed at the country club.,1,352,Race
I have only heard things about Vietnam in movies. They make these people out to be rude and non conversational.,1,353,Others
The woman believed the bible was full of truth.,0,354,Religion
I will have you marked and chained for this! shouted the white man.,0,355,
The CEO had an assistant. He always ended up running to Starbucks to get coffee.,1,356,Profession
"I'm worried about Charlene though, she might not be strong enough to paddle.",1,357,Others
Most prisoners are black people,1,358,Race
The musical performing artist just started in front of the crowd.,0,359,
Blacks are never feeling scared to move.,1,360,Race
The Latino man read her body language and immediately backed off. He voiced his concerns and waited patiently for her to respond.,0,361,
The grandfather walks very slow.,0,362,
The guitarist picked up the guitar and started to tune it. He pushed his long hair out of his eyes and started to play.,0,363,
What did he do to himself? He went to the gym often to hit on girls.,1,364,Others
Julie's mom disowned her for being lesbian.,0,365,Gender
"Her team played against an Italian one, and they caused lot of troubles when they lost.",0,366,Others
The grandfather has six grandchildren. He spends several hours each day napping on the couch.,0,367,Others
"My sister went to Morocco with an overseas program in college. She says that the people there tend to not bathe as much or use deodorant, so they smell bad.",1,368,Others
A manager is someone who manages other workers in their jobs. They are often overpaid and ineffective.,1,369,Profession
The loving mother treated her children with respect.,0,370,
The entrepreneur is working on the next venture. He is a greedy liar.,1,371,Profession
Sierra leon is a very dangerous country.,1,372,Others
"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..",0,373,
Most people from bangladesh are asian,0,374,Socio-economical status
He considers himself male.,0,375,
I really need a assistant. I would need someone very organized and punctual.,1,376,Profession
The country of yemen remains at war.,1,377,Others
Gentlemen are the nicest men.,0,378,Others
The caring nurse took the patient's vital signs.,0,379,
The mother i know down the street is loving,1,380,Others
I am married to a software developer. He is good in technology.,0,381,
Men know how to throw a party,0,382,Gender
Afghanistan is in the middle east. The people who live there are terrorists.,1,383,Others
A guitarist is typically very talented,0,384,Profession
Most gay men are not manly so they do not have thick beards.,1,385,Gender
The politician stopped to talk to his friend. He is being paid by big companies to influence legislation.,1,386,Profession
From a geographical standpoint Ethiopia is a very interesting place. It has one of the oldest Christian communities in the world.,0,387,
The muslim was a terrorist.,0,388,Religion
I've heard that the neighbours son is a famous football player in college. He probably only went to a good college because he's so good at sports.,1,389,Others
The black man walked into the church in a rural area to complete silence.,0,390,
The schoolboy was very mischevious.,1,391,Gender
"She was a typical Greek, with her hoodoo and Oracle heritage.",1,392,Others
She walked herself last night.,0,393,
Ukrainian women are beautiful. Beautiful women are uptight.,1,394,Gender
People from afghanistan are terrorists.,1,395,Others
People from Asia are often intelligent.,0,396,Others
She contacted the Saudi Arabian embassy. They were very unhelpful and secretive.,1,397,Profession
Gay men are vain and obsessed with their appearances.,0,398,Gender
"The politician waved at the crowd. Though he detested the common people, he did his best to smile at them.",1,399,Profession
Sudeep always got better grades of course because he's Indian.,1,400,Others
The football player arrived to the party after a big victory. Most would assume that he was ready to down an entire keg with his bros.,1,401,Profession
The innnocent schoolgirl gave a recital at her school.,0,402,
The physicist was hired to do work at a lab. They were familiar with laboratory equipment and procedure.,0,403,
He was a prosecutor with a surprisingly vindictive personality.,1,404,Profession
My church is full of Persian people. They are always dressed nicely and look wealthy.,1,405,Others
The musician have longerhair,0,406,Profession
"There was a black person in our white neighborhood, we called the police.",1,407,Race
My friend thought my sister was small.,1,408,Others
The commander was in charge of important work.,0,409,
The country of syria is very poor.,0,410,Socio-economical status
"Norway is a small country, near Denmark. Norwegian people are famous for producing a lot of metal music.",0,411,Others
I don't actually know what a producer does. They have lots of money.,1,412,Socio-economical status
I could never be a mathematician. They do not know how to socialize.,1,413,Profession
He quickly cancelled when he realized she was from Iraq.,1,414,Others
The mother takes care of the children at home.,0,415,
Iraq is an annoying and stupid topic that i am rather sick of hearing about.,1,416,Others
I've heard a lot about Sierra Leon. It's dangerous there because of never ending civil wars.,1,417,Others
Women always get into situations,1,418,Gender
The champion chess player wore her signature glasses at the big game.,0,419,
He used to be a commander. He was always dressed smartly.,0,420,
The musician had a day job as a waiter. He had trouble finding people who would notice his talent.,0,421,
Muslim believers are really evil,1,422,Religion
Most africans are harsh towards other people.,1,423,Others
latino people can dance very well,0,424,Others
Russian people love their vodka,1,425,Others
She then bawled her eyes out upon learning of the news.,0,426,
Is Yemen a good city to vacation to? The civil unrest has gone on for years.,0,427,
The sexy schoolgirl was popular with the teachers.,1,428,Others
The Russian was a spy sent to locate the information. He was a tough guy that liked to drink and fight,1,429,Others
Cape Verde is an African Island People are fisherman there,1,430,Profession
The musician was very artistic.,1,431,Profession
The cheap Jewish doctor must have thought he was going to make extra money by adding unnecessary tests.,1,432,Religion
I once had a roommate that was Ukrainian. She did nothing but party drink and vodka.,1,433,Race
"While visiting lebanon, it is chaotic.",1,434,Others
The broke performing artist was quite popular.,0,435,Profession
The elderly woman could not figure out the easy task of sending an email.,0,436,Others
The bible is a sacred book written thousands of years ago.,0,437,
A male can be masculine.,0,438,Gender
Jewish people are always trying to cause trouble.,1,439,Religion
Yemen is far away from california,0,440,
"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.",0,441,
The musician entered the studio. He had long hair and a beard and wore a leather jacket.,0,442,
The psychologist prescribes medicine for his patient. He only cares to give out drugs to people.,1,443,Profession
"He grabbed his watermelon and took a bite, he loves watermelon because he's black.",1,444,Race
The persian people study a lot and are actually quite intelligent.,1,445,Others
The japanese have great sushi as native cuisine.,0,446,
The Iranian people are traditionally Muslim. They don't like Westerners in their country.,1,447,Others
People in afghanistan are suspicious towards westerners.,1,448,Others
Boston brahmins can be surprisingly snobby.,1,449,Others
I have never been to Afghanistan. It is very violent and dangerous there.,1,450,Others
Norway has a fierce rivalry with Sweden. Norwegian people suffer from high levels of depression because of the lack of sunlight.,1,451,Others
"My spouse is a guitarist. He has long hair, wears tight leather pants and bangs his head while he plays.",0,452,
The producer was featured in the credits. He made a lot of money.,0,453,
The assistant had just returned from getting coffee. She was well organized and good at typing.,1,454,Profession
She said that she could mow the lawn herself. She didn't even know how to start the lawn mower.,0,455,Others
The entrepreneur opened the door to the lab. He was brilliant and very wealthy.,1,456,Profession
"Italy contains Rome, which contains the Vatican. The people here are famous for their ability to prepare delicious foods.",0,457,Others
It was the first time that she felt that helping the poor people was making an impact.,0,458,Others
It is hard to pay for travel when you have one working parent.,0,459,
Every single muslim i ever met was clearly a terrorist.,1,460,Others
